X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0486970113691,38.7981365021341,26014209,38.798133,-77.0487,Franklin St & S Washington St,classic,411,active,2022/03/25 07:56:05+00,6,0,13,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0640137061059,38.8434327558161,26014210,38.843422,-77.064016,Mount Vernon Ave & Four Mile Run Park,classic,412,active,2022/03/25 10:17:03+00,14,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0160039611123,38.9024182158764,26014211,38.902406,-77.016006,New Jersey Ave & K St NW,classic,413,active,2022/03/25 08:54:55+00,21,0,1,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.063090294663,38.841298255713,26014212,38.841291,-77.063093,Mount Vernon Ave & Bruce St,classic,414,active,2022/03/25 04:55:50+00,4,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0537732680695,38.7975667362703,26014213,38.797557,-77.053766,Lee Center,classic,415,active,2022/03/25 04:55:50+00,10,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0477898660708,38.818757328518,26014214,38.818748,-77.047783,Powhatan St & Bashford Ln,classic,416,active,2022/03/25 08:48:55+00,6,0,9,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0478431565184,38.8295494609216,26014215,38.829545,-77.047844,Potomac Ave & Swann Ave,classic,417,active,2022/03/25 04:55:57+00,12,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",40,2022/03/25 10:27:45+00,,"Alexandria, VA"
-77.0322249628347,38.9285570569183,26014216,38.928552,-77.032224,14th & Irving St NW,classic,418,active,2022/03/25 10:04:10+00,30,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0344490840428,38.9011440542281,26014217,38.901136,-77.034451,Vermont Ave & I St NW,classic,419,active,2022/03/25 10:04:54+00,13,0,12,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,25,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.0802138584383,38.9498205807519,26014218,38.949813,-77.080217,Wisconsin Ave & Brandywine St NW,classic,420,active,2022/03/25 04:56:23+00,24,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,25,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-76.9719261535664,38.9126404152723,26014219,38.91263,-76.971923,24th & R St NE / National Arboretum,classic,421,active,2022/03/25 09:14:49+00,17,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-76.9259132505353,38.8974141975119,26014220,38.897407,-76.925907,Division Ave & Foote St NE,classic,422,active,2022/03/25 04:55:52+00,9,0,5,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-76.9823598613978,38.8706994686156,26014221,38.870695,-76.982359,16th & Q St SE / Anacostia HS,classic,423,active,2022/03/25 08:19:31+00,19,0,4,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2022/03/25 10:27:45+00,,"Washington, DC"
-77.2406601546871,38.9292685972545,26014222,38.929261,-77.240654,Spring Hill Metro,classic,424,active,2022/03/24 04:53:56+00,5,0,10,1,0,Yes,No,No,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.2359604523307,38.9240353227432,26014223,38.92403,-77.235955,Westpark Dr & Leesburg Pike,classic,425,active,2022/03/25 04:55:50+00,9,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.2211852099411,38.9194789711864,26014224,38.919475,-77.221179,Tysons One Pl & Chain Bridge Rd,classic,427,active,2022/03/25 10:25:23+00,8,0,3,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
-77.2221122880063,38.9209455743846,26014225,38.920939,-77.222115,Tysons Corner Station,classic,428,active,2022/03/25 08:52:30+00,3,0,8,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",104,2022/03/25 10:27:45+00,,"Fairfax, VA"
